id,title,description,price,category
128,Flan,"Recipe

Steps:
- For the caramel place 100 grams of sugar in a frying pan without any fat and melt on medium heat.
- Try not to stir with a spoon, but swirl the pan itself.
- Let melt until you have an amber color and sugar is fully melted.
- Fill the bottom of four flan containers with it.
- Caramel will harden immediately, so you need to be fast.
- My containers yield about 120 milliliters each.
- Preheat oven to 150 degrees Celsius and look for a casserole or container all your four flan containers fit into.
- Heat milk with 45 grams of sugar and the cut and scraped out vanilla pod.
- The milk does not need to boil, just needs to be heated.
- Take out vanilla pod after a few minutes.
- Meanwhile stir the egg yolks and eggs gently, try not to incorporate any air in it.
- Them pour milk-mix into egg-mix and again only stir very gently.
- Pour into prepared flan containers and place these into your casserole or container.
- Boil water and pour the water into the large casserole.
- Be sure not to touch the flan mixture.
- Place on middle rack in the oven and let bake for about 35-40 minutes.
- An inserted toothpick should come out clean.
- Let cool inside the container for an hour before transferring to the fridge.
- Chill overnight.
- The next day gently release the rim and then turn upside down on a plate.
- Serve with some dulce de leche on the side..


Ingredients:
- Sugar (100g)
- Milk (350g)
- Sugar (45g)
- vanilla pod (1)
- Egg Yolks (4)
- Egg (2)
- Dulce de leche (To taste)

Video:
https://www.youtube.com/watch?v=rpv_PXIoysE
",20.00,Dessert
129,Ezme,"Recipe

Steps:
-   Put the tomatoes and all of the peppers in a food processor and blitz until finely chopped.
- Tip out into a sieve, set over a bowl and leave to strain.
- Add the onions, garlic and parsley to the food processor and blitz until finely chopped, then set aside.
-   Add red pepper paste, tomato purée, pomegranate molasses, pul biber, sumac, dried mint and most of the extra virgin olive oil to a serving bowl and whisk well so everything comes together as a sauce.
- Tip in the blitzed onion mixture and the strained pepper mixture along with 1 tsp flaky sea salt.
- Stir well, then drizzle with the remaining extra virgin olive oil to serve..


Ingredients:
- Tomato (3 Large)
- Romano Pepper (1 medium)
- Green Chilli (1 medium)
- Onion (1 small)
- Garlic (2 cloves minced)
- Parsley (25g)
- Red Pepper Paste (2 tablespoons)
- Tomato Puree (1 tablespoon)
- Pomegranate Molasses (2 tablespoons)
- Pul Biber (1 tablespoon)
- Sumac (2 tsp)
- Dried Mint (1 tablespoon)
- Extra Virgin Olive Oil (60 ml)

Video:
https://www.youtube.com/watch?v=Z1mX-C2fAuc
",9.00,Vegetarian
130,kabse,"Recipe

Steps:
- Caramelize the chicken with olive oil then add a maggi cube and boil it for around 30 minutes.
- In another pot, add all the veggies and caramelize them till they are soft.
- Once everything is done, add the rice, raisins & spices to the veggies and add 2 and a half cups of water for the rice to cook.
- Once the rice is done put everything in the oven..


Ingredients:
- Chicken (400g)
- Rice (1 cup)
- Green Pepper (1)
- Red Pepper (1)
- Mushrooms (2)
- Sweetcorn (1)
- Carrots (2)
- Raisins (Handful)
- Turmeric (1 tsp)
- Kabse Spice (1 tsp)
- Salt (Pinch)
- Black Pepper (Pinch)

Video:
https://www.youtube.com/watch?v=lrcUixJEPK0
",21.00,Chicken
131,Asado,"Recipe

Steps:
- Prepare the Fire: Start a wood fire in your grill and let it burn down to coals.
- Season the Meat: Generously salt the beef cuts.
- Grill the Meat: Place the beef on the grill, starting with the thickest cuts farthest from the coals.
- Add chorizo and morcilla after the beef has been cooking for a while.
- Cook to Perfection: Cook the meat, turning occasionally, until it reaches your desired doneness.
- Typically, ribs may take up to 2 hours; thinner cuts will cook faster.
- Rest and Serve: Let the meat rest for about 10 minutes before slicing.
- Serve with chimichurri sauce and grilled vegetables.
- Pro Tips:    Use a mix of wood and charcoal for a consistent heat source.
- Wood adds flavor, while charcoal maintains temperature.
- Season the meat just before grilling to ensure it retains its moisture and flavor.
- Serving Suggestions:    Serve with a side of chimichurri sauce, a fresh tomato salad, and crusty bread.
- Pair with a robust Malbec wine to complement the rich flavors of the meat..


Ingredients:
- Mixed Beef Cuts (2kg)
- Chorizo (4)
- Morcilla (2)
- Salt (To taste)

Video:
https://www.youtube.com/watch?v=q5f6Z6i1hQ8
",21.00,Beef
132,Migas,"Recipe

Steps:
- Crumble the bread into small pieces.
- Sprinkle with cold water, cover with a damp cloth and leave for 30 minutes.
- Heat 2 tsp of olive oil in a deep pan.
- Add the garlic cloves separated, skins on; just make a small cut with a knife to open them and keep frying for 5 minutes.
- Set the garlic aside.
- In the same oil, where we fried everything, simmer the bread, stirring constantly for 15 minutes and add a grinding of black pepper.
- Add the garlic, continue stirring for about 20 minutes.
- It will be ready when the bread is soft and golden..


Ingredients:
- Bread (1 large)
- Olive Oil (1 1/2 L)
- Garlic (Half)
- Pork (1 Handfull)

Video:
https://www.youtube.com/watch?v=GSvFVBpqMKI
",11.00,Miscellaneous
133,Sushi,"Recipe

Steps:
-   TO MAKE SUSHI ROLLS: Pat out some rice.
- Lay a nori sheet on the mat, shiny-side down.
- Dip your hands in the vinegared water, then pat handfuls of rice on top in a 1cm thick layer, leaving the furthest edge from you clear.
-   Spread over some Japanese mayonnaise.
- Use a spoon to spread out a thin layer of mayonnaise down the middle of the rice.
-   Add the filling.
- Get your child to top the mayonnaise with a line of their favourite fillings – here we’ve used tuna and cucumber.
-   Roll it up.
- Lift the edge of the mat over the rice, applying a little pressure to keep everything in a tight roll.
-   Stick down the sides like a stamp.
- When you get to the edge without any rice, brush with a little water and continue to roll into a tight roll.
-   Wrap in cling film.
- Remove the mat and roll tightly in cling film before a grown-up cuts the sushi into thick slices, then unravel the cling film.
-   TO MAKE PRESSED SUSHI: Layer over some smoked salmon.
- Line a loaf tin with cling film, then place a thin layer of smoked salmon inside on top of the cling film.
-   Cover with rice and press down.
- Press about 3cm of rice over the fish, fold the cling film over and press down as much as you can, using another tin if you have one.
-   Tip it out like a sandcastle.
- Turn block of sushi onto a chopping board.
- Get a grown-up to cut into fingers, then remove the cling film.
-   TO MAKE SUSHI BALLS: Choose your topping.
- Get a small square of cling film and place a topping, like half a prawn or a small piece of smoked salmon, on it.
- Use damp hands to roll walnut-sized balls of rice and place on the topping.
-   Make into tight balls.
- Bring the corners of the cling film together and tighten into balls by twisting it up, then unwrap and serve..


Ingredients:
- Sushi Rice (300ml)
- Rice wine (100ml)
- Caster Sugar (2 tbs)
- Mayonnaise (3 tbs)
- Rice wine (1 tbs)
- Soy Sauce (1 tbs)
- Cucumber (1)

Video:
https://www.youtube.com/watch?v=ub68OxEypaY
",23.00,Seafood
134,Cacik,"Recipe

Steps:
-   Put a sieve over a large bowl, line it with a thick sheet of non-dyed kitchen paper or a clean muslin cloth, and spoon in the yogurt.
- Cover with another sheet of kitchen paper and leave to strain in the fridge for a minimum of 12 hrs.
-   Add the lemon juice, most of the olive oil and the dried mint to a bowl and stir well for the dried mint to soften and soak up the juices.
- Mix in the strained yogurt, then pour away the strained yogurt liquid and leave that bowl to one side.
-   Halve the cucumber(s) lengthways and remove the seeds by running a teaspoon from the top to the bottom of the flesh, halve the cucumbers widthways to make them shorter and easier to handle, then coarsely grate each one into the bowl the yogurt was straining over.
- Using clean hands (or a clean muslin cloth), squeeze as much of the liquid out of the cucumber as possible.
-   Add the strained, grated cucumber, garlic and ¾ tsp flaky salt to the rest of the ingredients and mix well.
- Garnish with a drizzle of extra virgin olive oil and a sprinkling of dried mint..


Ingredients:
- Natural Yoghurt (500g)
- Lemon Juice (2 tsp)
- Extra Virgin Olive Oil (1 tablespoon)
- Dried Mint (1 tablespoon)
- Cucumber (1)
- Garlic (2 cloves minced)

Video:
https://www.youtube.com/watch?v=eIDgcvpAvf8
",16.00,Side
135,Locro,"Recipe

Steps:
- Soak: Soak corn and beans overnight in water.
- Cook Meats: In a large pot, brown the beef and pork.
- Add onions and spices, cooking until translucent.
- Simmer the Stew: Add soaked corn and beans, pumpkin, potato, and enough water to cover.
- Simmer for 2-3 hours, until thick.
- Serve: Enjoy hot, with bread on the side.
- Pro Tips:    Toasting the corn slightly before adding it to the stew enhances its flavor.
- Add a spoonful of paprika or a dash of cumin for an extra layer of warmth and complexity.


Ingredients:
- Dried white corn (500g)
- Dried white beans (200g)
- Pumpkin (300g)
- Potatoes (200g)
- Beef (300g)
- Pork (200g)
- Chorizo (1)
- Onion (1 chopped)
- Paprika (1 teaspoon)
- Salt (To taste)
- Pepper (To taste)

Video:
https://www.youtube.com/watch?v=vX0KYKAkBTU
",12.00,Miscellaneous
136,Burek,"Recipe

Steps:
- Fry the finely chopped onions and minced meat in oil.
- Add the salt and pepper.
- Grease a round baking tray and put a layer of pastry in it.
- Cover with a thin layer of filling and cover this with another layer of filo pastry which must be well coated in oil.
- Put another layer of filling and cover with pastry.
- When you have five or six layers, cover with filo pastry, bake at 200ºC/392ºF for half an hour and cut in quarters and serve..


Ingredients:
- Filo Pastry (1 Packet)
- Minced Beef (150g)
- Onion (150g)
- Oil (40g)
- Salt (Dash)
- Pepper (Dash)

Video:
https://www.youtube.com/watch?v=YsJXZwE5pdY
",12.00,Side
137,Corba,"Recipe

Steps:
- Pick through your lentils for any foreign debris, rinse them 2 or 3 times, drain, and set aside.
- Fair warning, this will probably turn your lentils into a solid block that you’ll have to break up later  In a large pot over medium-high heat, sauté the olive oil and the onion with a pinch of salt for about 3 minutes, then add the carrots and cook for another 3 minutes.
- Add the tomato paste and stir it around for around 1 minute.
- Now add the cumin, paprika, mint, thyme, black pepper, and red pepper as quickly as you can and stir for 10 seconds to bloom the spices.
- Congratulate yourself on how amazing your house now smells.
- Immediately add the lentils, water, broth, and salt.
- Bring the soup to a (gentle) boil.
- After it has come to a boil, reduce heat to medium-low, cover the pot halfway, and cook for 15-20 minutes or until the lentils have fallen apart and the carrots are completely cooked.
- After the soup has cooked and the lentils are tender, blend the soup either in a blender or simply use a hand blender to reach the consistency you desire.
- Taste for seasoning and add more salt if necessary.
- Serve with crushed-up crackers, torn up bread, or something else to add some extra thickness.
- You could also use a traditional thickener (like cornstarch or flour), but I prefer to add crackers for some texture and saltiness.
- Makes great leftovers, stays good in the fridge for about a week..


Ingredients:
- Lentils (1 cup)
- Onion (1 large)
- Carrots (1 large)
- Tomato Puree (1 tbs)
- Cumin (2 tsp)
- Paprika (1 tsp)
- Mint (1/2 tsp)
- Thyme (1/2 tsp)
- Black Pepper (1/4 tsp)
- Red Pepper Flakes (1/4 tsp)
- Vegetable Stock (4 cups)
- Water (1 cup)
- Sea Salt (Pinch)

Video:
https://www.youtube.com/watch?v=VVnZd8A84z4
",24.00,Side
138,Borsch,"Recipe

Steps:
-   To make the stock, put the meat, whole onion, bay leaf and 2 litres of lightly salted cold water in a large saucepan.
- Cook over a very low heat for 1 hr 30 mins or until the beef shin is soft and falls apart easily – this can take up to 3 hrs.
- Skim off the scum with a spoon from time to time.
- Break up any larger pieces of beef into the broth, remove the whole onion and discard.
-   Add the potatoes to the borscht, season well with salt and pepper and cook for 10-15 mins until tender.
- Meanwhile, heat the sunflower oil in a large, deep frying pan.
- Add the diced onion and carrot, and cook over a medium heat, stirring, until the carrot is soft and is about to start caramelising.
-   Add the beetroot and cook for around 5 mins, stirring occasionally.
- Add the red pepper, if using, and cook for another 2 mins, then add the tomatoes and prunes, stir, then increase the heat and boil to reduce slightly, before adding everything to the borscht.
-   Add the shredded cabbage and the kidney beans, and cook for 7-10 mins or until tender.
- Serve with a dollop of sour cream or crème fraîche, lots of chopped dill and some crusty bread..


Ingredients:
- Beef Shin (1kg)
- Onion (1)
- Bay Leaf (1)
- Potatoes (2.5kg)
- Sunflower Oil (2 tablespoons)
- Onion (1 Diced)
- Carrots (1)
- Beetroot (200g)
- Red Pepper (1 chopped)
- Tinned Tomatos (200g)
- Prunes (6)
- White Cabbage (1/2)
- Kidney Beans (400g)
- Creme Fraiche (100 ml)
- Dill (Bunch)
- Crusty Bread (To serve)

Video:
https://www.youtube.com/watch?v=6CXgPVw_-0g
",19.00,Beef
139,Hummus,"Recipe

Steps:
-   Drain the chickpeas into a sieve set over a bowl or jug to catch the liquid.
- Tip the chickpeas, tahini, garlic and yogurt into a food processor or blender and whizz to smooth.
-   Whizz in a tbsp of the chickpea liquid at a time until you have a nice consistency, then scrape into a bowl.
-   Stir in a squeeze of lemon juice and season to taste..


Ingredients:
- Chickpeas (400g)
- Tahini Paste (1 tablespoon)
- Garlic Clove (1 large)
- Greek Yogurt (3  tablespoons)
- Lemon (Juice of half)

Video:
https://www.youtube.com/watch?v=EsZFJEjANiA
",22.00,Side
140,Kumpir,"Recipe

Steps:
- If you order kumpir in Turkey, the standard filling is first, lots of butter mashed into the potato, followed by cheese.
- There’s then a row of other toppings that you can just point at to your heart’s content – sweetcorn, olives, salami, coleslaw, Russian salad, allsorts – and you walk away with an over-stuffed potato because you got ever-excited by the choices on offer.
- Grate (roughly – you can use as much as you like) 150g of cheese.
- Finely chop one onion and one sweet red pepper.
- Put these ingredients into a large bowl with a good sprinkling of salt and pepper, chilli flakes (optional)..


Ingredients:
- Potatoes (2 large)
- Butter (2 tbs)
- Cheese (150g)
- Onion (1 large)
- Red Pepper (1 large)
- Red Chilli Flakes (Pinch)

Video:
https://www.youtube.com/watch?v=IEDEtZ4UVtI
",18.00,Side
