id,title,description,price,category
141,Knafeh,"Recipe

Steps:
- Take kanfhe in a bowl and roughly cut them.
- Pour melted butter, yellow food color and mix well with your hands.
- In a separate bowl mix milk, cream cheese, sugar, cornstarch well.
- Turn on the flame and boil the liquid, when it gets thick turn off the flame let it cool down a little bit.
- Add mozzarella in it and mix it well.
- Now make a base with half of the kanfhe in a dish, gently press it to level the dough well.
- Pour the cheese mixture on the top and level it with a spoon.
- Cover it with the other half of the kanfhe.
- Put the dish in a preheated oven at 200 degree for about 20-25 minutes.
- It's ready when kunafa is golden and crunchy in the surface.
- Boil water in a pan and dissolve sugar in it for 4–5 minutes.
- OR cook it until slightly thicken and keep on stirring.
- Add lemon juice with rose water, mix well.
- Evenly pour the syrup over the kunafa as soon as it comes out of the oven.
- Your kunafa is ready to serve..


Ingredients:
- Knafeh (400g)
- Unsalted Butter (6 tablespoons)
- Yellow Food Colouring (1 pinch)
- Mozzarella (1 cup)
- Cream Cheese (1/4 cup)
- Milk (1 1/2 cup)
- Sugar (4 tablespoons)
- Corn Flour (2 tablespoons)
- Sugar (1 cup)
- Water (1 cup)
- Rose water (1 tsp)
- Lemon Juice (1/2 teaspoon)

Video:
https://www.youtube.com/watch?v=3EF_R7__xu4
",13.00,Dessert
142,Tamiya,"Recipe

Steps:
- oak the beans in water to cover overnight.Drain.
- If skinless beans are unavailable, rub to loosen the skins, then discard the skins.
- Pat the beans dry with a towel.
- Grind the beans in a food mill or meat grinder.If neither appliance is available, process them in a food processor but only until the beans form a paste.
- (If blended too smoothly, the batter tends to fall apart during cooking.) Add the scallions, garlic, cilantro, cumin, baking powder, cayenne, salt, pepper, and coriander, if using.
- Refrigerate for at least 30 minutes.
- Shape the bean mixture into 1-inch balls.Flatten slightly and coat with flour.
- Heat at least 1½-inches of oil over medium heat to 365 degrees.
- Fry the patties in batches, turning once, until golden brown on all sides, about 5 minutes.Remove with a wire mesh skimmer or slotted spoon.
- Serve as part of a meze or in pita bread with tomato-cucumber salad and tahina sauce..


Ingredients:
- Broad Beans (3 cups)
- Spring Onions (6)
- Garlic Clove (4)
- Parsley (1/4 cup)
- Cumin (2 tsp)
- Baking Powder (1 tsp)
- Cayenne Pepper (1/2 tsp)
- Flour (Spinkling)
- Vegetable Oil (As required)

Video:
https://www.youtube.com/watch?v=mulqW-J3Yy4
",14.00,Vegetarian
143,Bistek,"Recipe

Steps:
- .
- Marinate beef in soy sauce, lemon (or calamansi), and ground black pepper for at least 1 hour.
- Note: marinate overnight for best result  1.
- Heat the cooking oil in a pan then pan-fry half of the onions until the texture becomes soft.
- Set aside  2.
- Drain the marinade from the beef.
- Set it aside.
- Pan-fry the beef on the same pan where the onions were fried for 1 minute per side.
- Remove from the pan.
- Set aside  3.
- Add more oil if needed.
- Saute garlic and remaining raw onions until onion softens.
- .
- Pour the remaining marinade and water.
- Bring to a boil.
- .
- Add beef.
- Cover the pan and simmer until the meat is tender.
- Note: Add water as needed.
- .
- Season with ground black pepper and salt as needed.
- Top with pan-fried onions.
- .
- Transfer to a serving plate.
- Serve hot.
- Share and Enjoy!.


Ingredients:
- Beef (1 lb)
- Soy Sauce (5 tablespoons)
- Lemon (1)
- Garlic (3 cloves)
- Onion (3 parts)
- Olive Oil (4 tbs)
- Water (1 cup)
- Salt (1 pinch)

Video:
https://www.youtube.com/watch?v=xOQON5_S7as
",12.00,Beef
144,Paella,"Recipe

Steps:
-   Heat 1 tbsp of the oil in a wide, shallow pan.
- Add the prawn heads and parsley stalks and sizzle until the heads turn pink, then mash with a potato masher.
- Pour over the sherry or wine and 300ml water, season with salt and simmer for 10 mins to make a stock, mashing the prawn heads as they cook.
-   Scatter the mussels into the pan, cover the pan loosely with a lid or tea towel, then put over a high heat for 3-4 mins until the mussels just open.
- Stir to release the mussel juices, then pour the contents of the pan into a colander set over a large bowl containing the saffron.
- Let the saffron steep in the stock – you will need 700ml in total, so top up with water if needed and give everything a good stir.
- Pick the mussels out from the colander, then set aside.
-   Wipe out the pan and add the rest of the olive oil.
- Sizzle the chorizo until it releases its oil, then add the onion and garlic and cook until softened.
- Add the squid and turn over until it turns white.
- Add the tomatoes and cook down for a minute, then pour over most of the stock, give everything a good stir and bring to the boil.
- Scatter the rice over the stock, stir well once, then boil vigorously for 5 mins.
- Reduce the heat to the lowest setting and slowly simmer for 10 mins without stirring until the rice has absorbed most of the liquid.
-   Tuck the prawn tails into the rice and simmer for 5 mins, turning them over until cooked through.
- Stir through the mussels and broad beans or peas.
- Taste the rice – if it is still a little raw but the pan is dry, add a splash more stock and continue to cook; if it’s too soupy, then increase the heat to cook off the last of the stock.
-   Once the rice is just cooked, turn off the heat and cover with a tea towel for a few minutes.
- Scatter over the parsley leaves and lemon zest, then season with smoked salt if you like.
- Stir everything once, then serve straight from the pan, with lemon wedges on the side..


Ingredients:
- Olive Oil (3 tablespoons)
- Raw tiger prawns (10)
- Parsley (Bunch)
- Dry sherry (100 ml)
- Mussels (500g)
- Saffron (Pinch)
- Chorizo (150g)
- Onion (1 chopped)
- Garlic (3 cloves)
- Squid (1 medium)
- Tomato (2)
- Paella Rice (250g)
- Broad Beans (100g)
- Lemon Zest (1)

Video:
https://www.youtube.com/watch?v=vNBuXsTY15E
",21.00,Seafood
145,Fainá,"Recipe

Steps:
- Prepare the Batter: Whisk together chickpea flour, water, salt, and pepper.
- Let sit for at least 4 hours.
- Bake: Preheat the oven to 220°C (430°F).
- Pour olive oil into a round baking dish and heat in the oven.
- Pour in the batter and bake for 25-30 minutes, until golden.
- Serve: Slice and serve hot, optionally with black pepper on top.
- Pro Tips:    Let the batter rest for at least 2 hours, or overnight in the refrigerator, to ensure the chickpea flour fully hydrates and the flavors meld.
- For a crispy edge, preheat the baking pan with oil in the oven before adding the batter..


Ingredients:
- Chickpea Flour (200g)
- Water (600ml)
- Olive Oil (4 tablespoons)
- Salt (To taste)
- Pepper (To taste)

Video:

",8.00,Side
146,Challah,"Recipe

Steps:
-   Combine the yeast, a pinch of the sugar and a couple tablespoons of lukewarm water in a small bowl.
- Stir to dissolve the yeast, then leave for 10 mins until foamy.
-   Meanwhile, combine the flour, the remaining sugar and 2 tsp fine salt in a large bowl.
- Make a well in the centre, then add half the beaten egg, the yeast mixture and the oil.
- Pour in 200ml lukewarm water (it should feel slightly warm to the touch) and stir with a spoon, then mix using one hand, keeping the other clean while you bring the dough together.
- If there are a lot of very dry bits, gradually add a little water to just bring it together – you don't want it to get too wet and sticky.
- The dough should be moist, but not soggy.
-   Once the dough has come together, turn it out onto a lightly floured surface.
- Knead using both hands for 10 mins until smooth and a bit springy.
- If it gets very sticky, add a very small amount of flour – as little as possible.
- A dough scraper is useful if the dough is sticking to the work surface.
- Stretch the sides of the dough down and pull together to form a ball.
- Lightly oil a bowl, then lightly roll the dough ball around the bowl so it's coated in the oil.
- Cover with a clean tea towel and leave in a warm place for 1 hr, or until dough has doubled in size.
-   Line a baking sheet with baking parchment.
- Turn the dough out onto a clean work surface and divide into three equal pieces, weighing for accuracy, if you like.
- Roll each piece into a long sausage shape about 25cm long, tapering them slightly at both ends.
- Lay the pieces out in front of you, parallel to one another with a couple centimetres between each.
- Bring the sausages together at the top end, then plait them down the length, tucking in the ends when you reach the bottom.
- Carefully transfer the loaf to the prepared baking sheet and loosely cover with a clean tea towel.
- Leave to rise until puffy and billowy, about 40 mins.
-   Meanwhile, heat the oven to 200C/180C fan/gas 6.
- Gently brush the rest of the beaten egg all over the challah, getting it into all the crevices, and sprinkle with the poppy or sesame seeds, if using.
- Bake on a middle shelf of the oven for 25-30 mins, until the loaf is golden brown underneath and sounds hollow when tapped.
- Check after about 15 mins – if the top of the loaf has started to get too dark, cover it with foil.
- Leave to cool on a wire rack, then serve..


Ingredients:
- Strong white bread flour (500g)
- Caster Sugar (70g)
- Yeast (10g)
- Egg (2 Beaten)
- Sunflower Oil (70 ml)
- Poppy Seeds (1 tablespoon)

Video:
https://www.youtube.com/watch?v=RAYv3n4q-Wc
",16.00,Side
147,Big Mac,"Recipe

Steps:
- For the Big Mac sauce, combine all the ingredients in a bowl, season with salt and chill until ready to use.
- .
- To make the patties, season the mince with salt and pepper and form into 4 balls using about 1/3 cup mince each.
- Place each onto a square of baking paper and flatten to form into four x 15cm circles.
- Heat oil in a large frypan over high heat.
- In 2 batches, cook beef patties for 1-2 minutes each side until lightly charred and cooked through.
- Remove from heat and keep warm.
- Repeat with remaining two patties.
- .
- Carefully slice each burger bun into three acrossways, then lightly toast.
- .
- To assemble the burgers, spread a little Big Mac sauce over the bottom base.
- Top with some chopped onion, shredded lettuce, slice of cheese, beef patty and some pickle slices.
- Top with the middle bun layer, and spread with more Big Mac sauce, onion, lettuce, pickles, beef patty and then finish with more sauce.
- Top with burger lid to serve.
- .
- After waiting half an hour for your food to settle, go for a jog..


Ingredients:
- Minced Beef (400g)
- Olive Oil (2 tbs)
- Sesame Seed Burger Buns (2)
- Onion (Chopped)
- Iceberg Lettuce (1/4)
- Cheese (2 sliced)
- Dill Pickles (2 large)
- Mayonnaise (1 cup)
- White Wine Vinegar (2 tsp)
- Pepper (Pinch)
- Mustard (2 tsp)
- Onion Salt (1 1/2 tsp)
- Garlic Powder (1 1/2 tsp)
- Paprika (1/2 tsp)

Video:
https://www.youtube.com/watch?v=C5J39YnnPsg
",14.00,Beef
148,Falafel,"Recipe

Steps:
-   Heat 1 tbsp oil in a large pan, then fry the onion and garlic over a low heat for 5 mins until softened.
- Tip into a large mixing bowl with the chickpeas and spices, then mash together with a fork or potato masher until the chickpeas are totally broken down.
- Stir in the parsley or dried herbs, with seasoning to taste.
- Add the egg, then squish the mixture together with your hands.
-   Mould the mix into 6 balls, then flatten into patties.
- Heat the remaining oil in the pan, then fry the falafels on a medium heat for 3 mins on each side, until golden brown and firm.
- Serve hot or cold with couscous, pitta bread or salad..


Ingredients:
- Sunflower Oil (2 tablespoons)
- Onion (1 chopped)
- Garlic (1 clove peeled crushed)
- Chickpeas (400g)
- Ground Cumin (1 tsp)
- Ground Coriander (1 tsp)
- Parsley (Handful)
- Egg (1 beaten)

Video:
https://www.youtube.com/watch?v=NZcWedPKysk
",24.00,Vegetarian
149,Lasagne,"Recipe

Steps:
- Heat the oil in a large saucepan.
- Use kitchen scissors to snip the bacon into small pieces, or use a sharp knife to chop it on a chopping board.
- Add the bacon to the pan and cook for just a few mins until starting to turn golden.
- Add the onion, celery and carrot, and cook over a medium heat for 5 mins, stirring occasionally, until softened.
- Add the garlic and cook for 1 min, then tip in the mince and cook, stirring and breaking it up with a wooden spoon, for about 6 mins until browned all over.
- Stir in the tomato purée and cook for 1 min, mixing in well with the beef and vegetables.
- Tip in the chopped tomatoes.
- Fill each can half full with water to rinse out any tomatoes left in the can, and add to the pan.
- Add the honey and season to taste.
- Simmer for 20 mins.
- Heat oven to 200C/180C fan/gas 6.
- To assemble the lasagne, ladle a little of the ragu sauce into the bottom of the roasting tin or casserole dish, spreading the sauce all over the base.
- Place 2 sheets of lasagne on top of the sauce overlapping to make it fit, then repeat with more sauce and another layer of pasta.
- Repeat with a further 2 layers of sauce and pasta, finishing with a layer of pasta.
- Put the crème fraîche in a bowl and mix with 2 tbsp water to loosen it and make a smooth pourable sauce.
- Pour this over the top of the pasta, then top with the mozzarella.
- Sprinkle Parmesan over the top and bake for 25–30 mins until golden and bubbling.
- Serve scattered with basil, if you like..


Ingredients:
- Olive Oil (1 tblsp)
- Bacon (2)
- Onion (1 finely chopped)
- Celery (1 Stick)
- Carrots (1 medium)
- Garlic (2 cloves chopped)
- Minced Beef (500g)
- Tomato Puree (1 tbls)
- Chopped Tomatoes (800g)
- Honey (1 tblsp)
- Lasagne Sheets (500g)
- Creme Fraiche (400ml)
- Mozzarella Balls (125g)
- Parmesan Cheese (50g)
- Basil Leaves (Topping)

Video:
https://www.youtube.com/watch?v=gfhfsBPt46s
",20.00,Pasta
150,Dal fry,"Recipe

Steps:
- Wash and soak toor dal in approx.
- cups of water, for at least one hours.
- Dal will be double in volume after soaking.
- Drain the water.
- Cook dal with 2-1/2 cups water and add salt, turmeric, on medium high heat, until soft in texture (approximately 30 mins) it should be like thick soup.
- In a frying pan, heat the ghee.
- Add cumin seeds, and mustard seeds.
- After the seeds crack, add bay leaves, green chili, ginger and chili powder.
- Stir for a few seconds.
- Add tomatoes, salt and sugar stir and cook until tomatoes are tender and mushy.
- Add cilantro and garam masala cook for about one minute.
- Pour the seasoning over dal mix it well and cook for another minute.
- Serve with Naan..


Ingredients:
- Toor dal (1 cup)
- Water (2-1/2 cups)
- Salt (1 tsp)
- Turmeric (1/4 tsp)
- Ghee (3 tbs)
- Chopped tomatoes (1 cup)
- Cumin seeds (1/2 tsp)
- Mustard Seeds (1/2 tsp)
- Bay Leaf (2)
- Green Chilli (1 tbs chopped)
- Ginger (2 tsp shredded)
- Cilantro (2 tbs)
- Red Pepper (1/2 tsp)
- Salt (1/2 tsp)
- Sugar (1 tsp)
- Garam Masala (1/4 tsp)

Video:
https://www.youtube.com/watch?v=J4D855Q9-jg
",18.00,Vegetarian
151,Koshari,"Recipe

Steps:
- Cook the lentils.
- Bring lentils and 4 cups of water to a boil in a medium pot or saucepan over high heat.
- Reduce the heat to low and cook until lentils are just tender (15-17 minutes).
- Drain from water and season with a little salt.
- (Note: when the lentils are ready, they should not be fully cooked.
- They should be only par-cooked and still have a bite to them as they need to finish cooking with the rice).
- Now, for the rice.
- Drain the rice from its soaking water.
- Combine the par-cooked lentils and the rice in the saucepan over medium-high heat with 1 tbsp cooking oil, salt, pepper, and coriander.
- Cook for 3 minutes, stirring regularly.
- Add warm water to cover the rice and lentil mixture by about 1 1/2 inches (you’ll probably use about 3 cups of water here).
- Bring to a boil; the water should reduce a bit.
- Now cover and cook until all the liquid has been absorbed and both the rice and lentils are well cooked through (about 20 minutes).
- Keep covered and undisturbed for 5 minutes or so.
- Now make the pasta.
- While the rice and lentils are cooking, make the pasta according to package instructions by adding the elbow pasta to boiling water with a dash of salt and a little oil.
- Cook until the pasta is al dente.
- Drain.
- Cover the chickpeas and warm in the microwave briefly before serving.
- Make the crispy onion topping.
- Sprinkle the onion rings with salt, then toss them in the flour to coat.
- Shake off excess flour.
- In a large skillet, heat the cooking oil over medium-high heat, cook the onion rings, stirring often, until they turn a nice caramelized brown.
- Onions must be crispy, but not burned (15-20 minutes)..


Ingredients:
- Brown Lentils (1 1/2 cups)
- Rice (1 1/2 cups)
- Coriander (1/2 tsp)
- Macaroni (2 cups)
- Chickpeas (Can)
- Onion (1 large)
- Salt (Sprinking)
- Vegetable Oil (1/2 cup)

Video:
https://www.youtube.com/watch?v=y0d2ZMZBW4Y
",12.00,Vegetarian
152,Poutine,"Recipe

Steps:
- Heat oil in a deep fryer or deep heavy skillet to 365°F (185°C).
- Warm gravy in saucepan or microwave.
- Place the fries into the hot oil, and cook until light brown, about 5 minutes.
- Remove to a paper towel lined plate to drain.
- Place the fries on a serving platter, and sprinkle the cheese over them.
- Ladle gravy over the fries and cheese, and serve immediately..


Ingredients:
- Vegetable Oil (Dash)
- Beef Gravy (1 Can)
- Potatoes (5 thin cut)
- Cheese Curds (2 cups)

Video:
https://www.youtube.com/watch?v=UVAMAoA2_WU
",10.00,Miscellaneous
